Rank,Method,Parameter,Profit_%,Bankrupt_%,DD>50_%,DD>80_%,Worst_DD_%,Efficiency,Recommended_Bank
1,Kelly,3.00,4610,2.31,100.0,93.9,-100.0,46.1,1k € (всё или ничего)
2,Kelly,2.50,4237,0.56,100.0,89.4,-100.0,42.37,1k-3k € (риск 1 из 178)
3,Kelly,2.00,3524,0.09,99.9,79.9,-100.0,35.24,"3k-5k € (риск 1 из 1,111)"
4,Logarithmic,3,3166,0.07,99.9,74.4,-100.0,31.675,"1k-5k € (риск 1 из 1,429) 🔥"
5,Kelly,1.75,2997,0.02,99.8,72.5,-100.0,29.97,"3k-5k € (риск 1 из 5,000)"
6,Kelly,1.50,2244,0.0,99.6,61.9,-99.9,22.467,5k-10k € (Kelly чемпион!) 👑
7,Logarithmic,4,1725,0.0,98.9,50.8,-99.9,17.267,5k-10k € (Log 0% сливов!) 💎
8,Kelly,1.25,1554,0.0,98.4,45.9,-99.8,15.576,5k-10k €
9,Logarithmic,5,1027,0.0,94.0,28.3,-99.6,10.316,10k € (Log полный!) ⚡
10,Kelly,1.00,977,0.0,93.1,25.9,-99.4,9.829,10k € (Kelly полный) 💎
11,Kelly,0.90,784,0.0,87.7,17.9,-98.8,7.935,5k-10k €
12,Logarithmic,6,682,0.0,83.0,13.9,-98.7,6.908,10k €
13,Kelly,0.80,617,0.0,78.3,10.7,-97.6,6.315,10k €
14,Logarithmic,7,493,0.0,67.0,6.1,-97.2,5.075,10k €
15,Kelly,0.70,473,0.0,64.6,5.2,-95.6,4.952,10k €
16,Logarithmic,8,380,0.0,51.8,9.9,-93.3,4.067,10k € (агрессия)
17,Kelly,0.60,354,0.0,46.9,1.8,-92.6,3.828,10k-20k €
18,Kelly,0.50,257,0.0,27.3,0.3,-88.1,2.919,10k-50k €
19,Logarithmic,10,254,0.0,26.8,2.9,-87.9,2.893,10k €
20,Kelly,0.45,216,0.0,18.7,0.1,-85.0,2.541,10k-30k €
21,Logarithmic,12,189,0.0,13.4,0.4,-82.2,2.296,10k-30k €
22,Kelly,0.40,179,0.0,11.2,0.0,-81.3,2.206,20k-50k €
23,Kelly,0.35,146,0.0,5.4,0.1,-76.5,1.915,30k-100k €
24,Logarithmic,15,135,0.0,4.0,0.0,-72.5,1.857,30k-100k €
25,Kelly,0.30,117,0.0,2.2,0.0,-70.3,1.67,50k-100k €
26,Logarithmic,18,104,0.0,1.2,0.0,-65.1,1.593,50k-100k €
27,Kelly,0.25,91,0.0,0.5,0.0,-62.7,1.458,100k+ € ✅
28,Logarithmic,20,90,0.0,0.4,0.0,-63.0,1.425,100k+ € ✅
29,Kelly,0.20,68,0.0,0.1,0.0,-53.7,1.275,150k+ €
30,Logarithmic,25,67,0.0,0.0,0.0,-55.9,1.195,200k+ €
31,Kelly,0.15,48,0.0,0.0,0.0,-43.1,1.115,200k+ €
32,Kelly,0.10,30,0.0,0.0,0.0,-31.9,0.94,300k+ €
